Species,Number of unique names (Indigenous),Number of unique  languages (from Appendix 2B),Number of names (common),Number of uses
Gymnosperms,,,,
Abies amabilis,35,20,,27
Abies grandis,50,25,,76
Abies lasiocarpa,54,31,,105
Chamaecyparis nootkatensis,42,47,,62
Juniperus communis,66,34,,112
Juniperus scopulorum,20,18,,131
Juniperus maritima,20,18,,NA
Larix laricina,11,6,,55
Larix occidentalis,15,10,,45
Picea engelmannii,43,26,,24
Picea glauca,43,26,,166
Picea mariana,21,13,,81
Picea sitchensis,56,31,,136
Pinus albicaulis,31,14,,13
Pinus contorta,81,42,,103
Pinus monticola,43,26,,28
Pinus ponderosa,24,15,,138
Pseudotsuga menziesii,86,43,,87
Taxus brevifolia,65,39,,127
Thuja plicata,154,55,,368
Tsuga heterophylla,86,41,,160
Tsuga mertensiana,86,41,,19
,,,,
Ferns and fern-allies,,,,
Equisetum arvense,89,43,,54
Equisetum telmateia,89,43,,26
Equisetum hyemale L. ssp. affine,40,26,,76
Lycopodium clavatum,26,17,,11
Adiantum aleuticum,25,16,,11
Athyrium filix-femina (L.) Roth. ssp. cyclosorum,30,19,,20
Blechnum spicant,16,12,,17
Dryopteris expansa,66,37,,7
Gymnocarpium dryopteris,4,4,,1
Polypodium glycyrrhiza,39,30,,33
Polystichum munitum,71,29,,59
Pteridium aquilinum,90,40,,80
,,,,
Flowering plants (angiosperms),,,,
Acer circinatum,23,18,,26
Acer glabrum,36,27,,28
Acer macrophyllum,38,23,,64
Achillea millefolium,85,48,,266
Achlys triphylla,7,6,,9
Actaea rubra,22,13,,22
Agoseris glauca,8,5,,1
Allium cernuum,52,36,,69
Allium schoenoprasum var. sibiricum,12,7,,6
Allium geyeri,11,8,,7
Alnus incana ssp. tenuifolia,66,35,,45
Alnus viridis ssp. crispa,66,35,,26
Alnus viridis ssp. sinuata,66,35,,8
Alnus rubra,56,33,,116
Amelanchier alnifolia,131,45,,164
Anaphalis margaritacea,15,10,,43
Anemone multifida,12,8,,1
Angelica genuflexa,17,10,,11
Angelica lucida,13,5,,25
Antennaria neglecta,4,4,,6
Apocynum cannabinum,33,20,,99
Apocynum androsaemifolium,33,20,,54
Aquilegia formosa,29,20,,31
Aralia nudicaulis,14,11,,79
Arbutus menziesii,15,12,,61
Arctostaphylos uva-ursi,87,49,,186
Arctous ruber (rubra),11,6,,4
Argentina egedii,49,25,,19
Argentina anserina,49,25,,16
Arnica cordifolia,3,4,,5
Artemisia dracunculus,12,7,,99
Artemisia frigida,14,12,,90
Artemisia ludoviciana,12,7,,98
Artemisia tilesii,7,4,,33
