original_name,Synonym
Aaronsohnia pubescens,Aaronsohnia pubescens
Abarema adenophora,Abarema adenophora
Abarema adenophorum,Abarema adenophora
Abarema brachystachya,Abarema brachystachya
Abarema cochleata,Abarema cochleata
Abarema floribunda,Abarema floribunda
Abarema jupunba,Abarema jupunba
Abarema laeta,Abarema laeta
Abarema macradenia,Abarema macradenia
Abarema mataybifolia,Abarema mataybifolia
Abarema microcalyx var. microcalyx,Abarema microcalyx
Abarema piresii,Abarema piresii
Abarema racemiflora,Abarema racemiflora
Abatia parviflora,Abatia parviflora
Abelia biflora,Abelia biflora
Abelia chinensis,Abelia chinensis
Abelia dielsii,Abelia dielsii
Abelia grandiflora,Abelia
Abelia macrotera,Abelia macrotera
Abelia parvifolia,Abelia parvifolia
Abelia triflora,Abelia triflora
Abelmoschus crinitus,Abelmoschus crinitus
Abelmoschus esculentus,Abelmoschus esculentus
Abelmoschus ficulneus,Abelmoschus ficulneus
Abelmoschus manihot,Abelmoschus manihot
Abelmoschus moschatus,Abelmoschus moschatus
Abies alba,Abies alba
Abies amabilis,Abies amabilis
Abies balsamea,Abies balsamea
Abies beshanzuensis,Abies beshanzuensis
Abies borisii-regis,Abies
Abies bracteata,Abies bracteata
Abies cephalonica,Abies cephalonica
Abies chensiensis,Abies chensiensis
Abies cilicica,Abies cilicica
Abies concolor,Abies concolor
Abies delavayi,Abies delavayi
Abies delavayi var. nukiangensis,Abies delavayi var. nukiangensis
Abies fabri,Abies
Abies fargesii,Abies fargesii
Abies fargesii var. faxoniana,Abies fargesii subsp. faxoniana
Abies firma,Abies firma
Abies forrestii,Abies forrestii
Abies forrestii var. ferreana,Abies forrestii var. ferreana
Abies forrestii var. georgei,Abies forrestii var. georgei
Abies fraseri,Abies fraseri
Abies grandis,Abies grandis
Abies guatemalensis,Abies guatemalensis
Abies holophylla,Abies holophylla
Abies homolepis,Abies homolepis
Abies kawakamii,Abies kawakamii
Abies koreana,Abies koreana
Abies lasiocarpa,Abies lasiocarpa
Abies lasiocarpa var. arizonica,Abies lasiocarpa var. arizonica
Abies magnifica,Abies magnifica
Abies magnifica var. shastensis,Abies magnifica var. shastensis
Abies mariesii,Abies mariesii
Abies nebrodensis,Abies nebrodensis
Abies nephrolepis,Abies nephrolepis
Abies nordmanniana,Abies nordmanniana
Abies nordmanniana subsp. equi-trojani,Abies nordmanniana subsp. equi-trojani
Abies numidica,Abies numidica
Abies pindrow,Abies pindrow
Abies pinsapo,Abies pinsapo
Abies procera,Abies procera
Abies recurvata,Abies recurvata
Abies recurvata var. ernestii,Abies recurvata subsp. ernestii
Abies religiosa,Abies religiosa
Abies sachalinensis,Abies sachalinensis
Abies sibirica,Abies sibirica
Abies spectabilis,Abies spectabilis
Abies squamata,Abies squamata
Abies veitchii,Abies veitchii
Abies vejarii,Abies vejarii
Abies yuanbaoshanensis,Abies yuanbaoshanensis
Abies ziyuanensis,Abies ziyuanensis
Abrahamia ditimena,Abrahamia ditimena
Abronia ameliae,Abronia ameliae
Abronia fragrans,Abronia fragrans
Abronia latifolia,Abronia latifolia
Abronia maritima,Abronia maritima
Abronia pogonantha,Abronia pogonantha
Abronia turbinata,Abronia turbinata
Abronia umbellata,Abronia umbellata
Abronia villosa,Abronia villosa
Abrophyllum ornans,Abrophyllum ornans
Abrus canescens,Abrus canescens
Abrus laevigatus,Abrus laevigatus
Abrus precatorius,Abrus precatorius
Abrus schimperi,Abrus schimperi
Abuta grandifolia,Abuta grandifolia
Abuta imene,Abuta imene
Abuta panamensis,Abuta panamensis
Abuta racemosa,Abuta racemosa
Abuta rufescens,Abuta rufescens
Abutilon abutiloides,Abutilon abutiloides
Abutilon angulatum,Abutilon angulatum
Abutilon auritum,Abutilon auritum
Abutilon austroafricanum,Abutilon austroafricanum
Abutilon bidentatum,Abutilon bidentatum
Abutilon cryptopetalum,Abutilon cryptopetalum
Abutilon dugesii,Abutilon dugesii
Abutilon englerianum,Abutilon englerianum
Abutilon fraseri,Abutilon fraseri
