Attempt,Taxa included?,Taxa as logical?,Variables logged?,Scaled?,Normalized?,Column1,NRMSE,,Notes,
1,1,1,0,0,0,,1.01,,,
2,1,1,0,1,0,,0.864,,,
3,1,1,0,0,1,,0.753,,,
4,1,0,0,0,0,,1.36,,vwise = Nmass-LeafArea-PlantHeight-DiasporeMass-LDMC,
5,1,0,0,1,0,,0.12,,vwise = 0.698-0.93-0.392-0.995-0.71,
5*,1,0,0,1*,0,,0.897,,,Fixed so that Taxa are still 0 or 1
6,1,0,0,0,1,,0.223,,vwise = 0.018-0.01-0.012-0.004-0.06,
7,1,1,1,0,0,,1.01,,,
8,1,1,1,1,0,,0.865,,,
9,1,1,1,0,1,,0.752,,,
10,1,0,1,0,0,,0.006,,Replaced 1 with 1000,
11,1,0,1,1,0,,0.107,,Replaced 1 with 1000,
12,1,0,1,0,1,,0.257,,Replaced 1 with 1000,
13,0,0,0,0,0,,0.96,,,
14,0,0,0,1,0,,0.915,,,
15,0,0,0,0,1,,0.793,,,
16,0,0,1,0,0,,0.495,,,
17,0,0,1,1,0,,0.788,,,
18,0,0,1,0,1,,0.888,,,
