Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Abies amabilis,,,(Douglas ex Louden) Douglas ex Forbes,,/,NA,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),requested,Abies amabilis,Abies amabilis (Douglas ex Louden) Douglas ex Forbes,Abies amabilis,Abies amabilis,Abies
Abies grandis,,,(Douglas ex D. Don) Lindl.,,/,NA,Pinaceae,Y,Y,N,N,Stable (Least Concern),requested,Abies grandis,Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,Abies grandis,Abies
Abies lasiocarpa,,,(Hook.) Nutt,,/,NA,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt,Abies lasiocarpa,Abies lasiocarpa,Abies
Chamaecyparis nootkatensis,,,(D. Don) Spach,,Cupressus nootkatensis D. Don,NA,Cupressaceae,N,Y,N,Y (Chamaecyparis spp.),Stable (Least Concern),requested,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis (D. Don) Spach,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,Chamaecyparis
Juniperus communis,,,L.,,NA,NA,Cupressaceae,Y,Y,Y,Y,Increasing (Least Concern),requested,Juniperus communis,Juniperus communis L.,Juniperus communis,Juniperus communis,Juniperus
Juniperus scopulorum,,,Sarg.,,NA,Rocky Mountain Juniper,Cupressaceae,Y,Y,N,Y,Increasing (Least Concern),requested,Juniperus scopulorum,Juniperus scopulorum Sarg.,Juniperus scopulorum,Juniperus scopulorum,Juniperus
Juniperus maritima,,,Adams,,NA,Seaside Juniper,Cupressaceae,Y,N,N,N,Increasing (Least Concern),not available?,Juniperus maritima,Juniperus maritima Adams,Juniperus maritima,Juniperus maritima,Juniperus
Larix laricina,,,(Du Roi) K. Koch,,NA,tamarack/alpine larch,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Larix laricina,Larix laricina (Du Roi) K. Koch,Larix laricina,Larix laricina,Larix
Larix occidentalis,,,Nutt.,,NA,western larch,Pinaceae,Y,Y,N,N,Stable (Least Concern),requested,Larix occidentalis,Larix occidentalis Nutt.,Larix occidentalis,Larix occidentalis,Larix
Picea engelmannii,,,Parry ex Engelm,,NA,Engelmann spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea engelmannii,Picea engelmannii Parry ex Engelm,Picea engelmannii,Picea engelmannii,Picea
Picea glauca,,,(Moench) Voss,,NA,white spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea glauca,Picea glauca (Moench) Voss,Picea glauca,Picea glauca,Picea
Picea mariana,,,"(Mill.) Britton, Sterns&Poggenb.",,NA,black spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea mariana,"Picea mariana (Mill.) Britton, Sterns&Poggenb.",Picea mariana,Picea mariana,Picea
Picea sitchensis,,,(Bong.) Carriere,,NA,sitka spruce,Pinaceae,Y,Y,Y,N,Stable (Least Concern),requested,Picea sitchensis,Picea sitchensis (Bong.) Carriere,Picea sitchensis,Picea sitchensis,Picea
Pinus albicaulis,,,Engelm.,,NA,whitebark pine,Pinaceae,Y,Y,N,Y (pres/abs),Decreasing (Endangered),requested,Pinus albicaulis,Pinus albicaulis Engelm.,Pinus albicaulis,Pinus albicaulis,Pinus
Pinus contorta,,,Douglas ex Louden,,NA,lodgepole pine,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),requested,Pinus contorta,Pinus contorta Douglas ex Louden,Pinus contorta,Pinus contorta,Pinus
Pinus monticola,,,Douglas ex D. Don,,NA,western white pine,Pinaceae,Y,Y,N,N,Decreasing (Near threatened),requested,Pinus monticola,Pinus monticola Douglas ex D. Don,Pinus monticola,Pinus monticola,Pinus
