Synonym,Family,LDMC (g/g),Plant height (m),Nmass (mg/g),Leaf area (mm2),Woodiness,Diaspore mass (mg),N_Names,N_Langs,N_Uses,Species,Ssp_var
Abies amabilis,Pinaceae,NA,45.95737787,9.448975476,NA,woody,45.5117,35,20,27,Abies amabilis,NA
Abies grandis,Pinaceae,NA,54.9171867,14.6,180,woody,17.579,50,25,76,Abies grandis,NA
Abies lasiocarpa,Pinaceae,NA,26.65503063,13.43892689,35.04,woody,12.6603,54,31,105,Abies lasiocarpa,NA
Acer circinatum,Sapindaceae,NA,23.59083116,NA,3019,woody,73.9923,23,18,26,Acer circinatum,NA
Acer glabrum,Sapindaceae,NA,11.26788129,NA,3280.53,woody,50.2945,36,27,28,Acer glabrum,NA
Acer macrophyllum,Sapindaceae,NA,22.45122295,26.4,11632.91,woody,130.5233,38,23,64,Acer macrophyllum,NA
Achillea millefolium,Compositae,87.7511136851258,0.313157943,20.54814349,627.23,non-woody,0.1428,85,48,266,Achillea millefolium,NA
Achlys triphylla,Berberidaceae,NA,NA,NA,NA,non-woody,5.5588,7,6,9,Achlys triphylla,NA
Actaea rubra,Ranunculaceae,NA,1,18.8,1252.29,non-woody,10.6851,22,13,22,Actaea rubra,NA
Adiantum aleuticum,Pteridaceae,NA,NA,NA,NA,NA,NA,25,16,11,Adiantum aleuticum,NA
Agoseris glauca,Compositae,NA,0.181659021,17.17,520,non-woody,1.1523,8,5,1,Agoseris glauca,NA
Allium cernuum,Amaryllidaceae,NA,NA,NA,NA,non-woody,3.85,52,36,69,Allium cernuum,NA
Allium geyeri,Amaryllidaceae,NA,0.0562,NA,117.97,non-woody,2.34,11,8,7,Allium geyeri,NA
Allium schoenoprasum subsp. sibiricum,Liliaceae,NA,NA,NA,NA,NA,NA,12,7,6,Allium schoenoprasum,subsp. sibiricum
Alnus incana subsp. tenuifolia,Betulaceae,NA,NA,21.9,NA,woody,0.6077,66,35,45,Alnus incana,subsp. tenuifolia
Alnus rubra,Betulaceae,NA,30.98284191,23.73410952,NA,woody,0.8533,56,33,116,Alnus rubra,NA
Alnus viridis subsp. crispa,Betulaceae,NA,NA,NA,NA,NA,NA,66,35,26,Alnus viridis,subsp. crispa
Alnus viridis subsp. sinuata,Betulaceae,NA,NA,NA,NA,NA,NA,66,35,8,Alnus viridis,subsp. sinuata
Amelanchier alnifolia,Rosaceae,NA,3.86283244,18.2,964.61,woody,5.5447,131,45,164,Amelanchier alnifolia,NA
Anaphalis margaritacea,Compositae,0.296254214,0.633818409,17.76384616,1465.02,non-woody,0.0445,15,10,43,Anaphalis margaritacea,NA
Anemone multifida,Ranunculaceae,NA,0.6,NA,NA,non-woody,1.1785,12,8,1,Anemone multifida,NA
Angelica genuflexa,Apiaceae,NA,NA,NA,NA,NA,NA,17,10,11,Angelica genuflexa,NA
Angelica lucida,Apiaceae,NA,NA,NA,NA,non-woody,5.89,13,5,25,Angelica lucida,NA
Antennaria neglecta,Compositae,NA,0.3,14.70791148,278.08,non-woody,0.0693,4,4,6,Antennaria neglecta,NA
Apocynum androsaemifolium,Apocynaceae,0.334554127,0.735820838,17.2556779,7156.82,non-woody,0.2289,33,20,54,Apocynum androsaemifolium,NA
Apocynum cannabinum,Apocynaceae,NA,0.95,17.24,NA,non-woody,0.9519,33,20,99,Apocynum cannabinum,NA
Aquilegia formosa,Ranunculaceae,NA,0.91,NA,NA,non-woody,1.3283,29,20,31,Aquilegia formosa,NA
Aralia nudicaulis,Araliaceae,NA,0.45,20.1078031,4321.2,non-woody,5.905,14,11,79,Aralia nudicaulis,NA
Arbutus menziesii,Ericaceae,NA,19.71806211,11.52874754,4276.55,woody,92.6492,15,12,61,Arbutus menziesii,NA
