Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Abies amabilis,Pinaceae,35,20,27,Abies amabilis,NA,9.448975476,woody,192.1685650019184,45.51169999999999,45.95737787000001,770.5865105934573,1
Abies grandis,Pinaceae,50,25,76,Abies grandis,NA,14.6,woody,181.03693489182055,17.579,54.9171867,180,2
Abies lasiocarpa,Pinaceae,54,31,105,Abies lasiocarpa,NA,13.43892689,woody,228.00631970776902,12.660299999999998,26.65503063,35.04,3
Acer circinatum,Sapindaceae,23,18,26,Acer circinatum,NA,20.771209269050523,woody,178.12218936367043,73.99230000000001,23.590831160000004,3019.000000000001,4
Acer glabrum,Sapindaceae,36,27,28,Acer glabrum,NA,21.812757882283403,woody,179.75763206722155,50.29449999999999,11.267881289999998,3280.529999999999,5
Acer macrophyllum,Sapindaceae,38,23,64,Acer macrophyllum,NA,26.4,woody,177.31834821332274,130.52329999999998,22.451222949999995,11632.910000000003,6
Achillea millefolium,Compositae,85,48,266,Achillea millefolium,NA,20.54814349,non-woody,87.75111368512577,0.1428,0.313157943,627.23,7
Achlys triphylla,Berberidaceae,7,6,9,Achlys triphylla,NA,20.859357483361347,non-woody,44.45795139306923,5.5588,0.8005050098291379,2395.5573760761145,8
Actaea rubra,Ranunculaceae,22,13,22,Actaea rubra,NA,18.8,non-woody,62.723798862724905,10.685099999999998,1,1252.2900000000002,9
Adiantum aleuticum,Pteridaceae,25,16,11,Adiantum aleuticum,NA,19.927962701663024,woody,172.5952572029817,15.940579241418378,4.476998246691822,2336.964611258296,10
Agoseris glauca,Compositae,8,5,1,Agoseris glauca,NA,17.17,non-woody,42.260993577052595,1.1523,0.181659021,520,11
Allium cernuum,Amaryllidaceae,52,36,69,Allium cernuum,NA,20.526711793934883,non-woody,40.413260092241096,3.85,0.4818320840455455,1754.540543397525,12
Allium geyeri,Amaryllidaceae,11,8,7,Allium geyeri,NA,18.852437834397964,non-woody,73.30293429743145,2.34,0.056200000000000014,117.96999999999998,13
Allium schoenoprasum var. sibiricum,Liliaceae,12,7,6,Allium schoenoprasum,var. sibiricum,20.53311555010318,non-woody,41.857993420105835,3.085285964084864,0.5341594628657866,2097.5625214813494,14
Alnus incana subsp. tenuifolia,Betulaceae,66,35,45,Alnus incana,subsp. tenuifolia,21.9,woody,246.50878925408526,0.6077,14.35133506623157,2259.139215959997,15
Alnus rubra,Betulaceae,56,33,116,Alnus rubra,NA,23.73410952,woody,246.84790477900924,0.8533,30.98284191,2343.449873978817,16
Alnus viridis subsp. crispa,Betulaceae,66,35,26,Alnus viridis,subsp. crispa,20.167207175226313,woody,222.47555484336513,31.51240734131042,14.01731924883327,2080.9045967801267,17
Alnus viridis subsp. sinuata,Betulaceae,66,35,8,Alnus viridis,subsp. sinuata,20.167207175226313,woody,222.47555484336513,31.51240734131042,14.01731924883327,2080.9045967801267,18
Amelanchier alnifolia,Rosaceae,131,45,164,Amelanchier alnifolia,NA,18.2,woody,166.44277069549142,5.5447,3.8628324399999996,964.6100000000005,19
Anaphalis margaritacea,Compositae,15,10,43,Anaphalis margaritacea,NA,17.76384616,non-woody,0.296254214,0.0445,0.633818409,1465.0200000000004,20
Anemone multifida,Ranunculaceae,12,8,1,Anemone multifida,NA,20.858241841060416,non-woody,65.73900706037361,1.1785,0.6,1753.6052126936338,21
Angelica genuflexa,Apiaceae,17,10,11,Angelica genuflexa,NA,17.119750739138045,non-woody,37.171019947008475,6.654703284661517,0.9769139360843568,4438.318262044798,22
Angelica lucida,Apiaceae,13,5,25,Angelica lucida,NA,17.162670732310527,non-woody,35.59930036510509,5.889999999999999,0.906921486433921,4347.735550898332,23
Antennaria neglecta,Compositae,4,4,6,Antennaria neglecta,NA,14.70791148,non-woody,49.20924826479322,0.0693,0.3,278.08000000000004,24
Apocynum androsaemifolium,Apocynaceae,33,20,54,Apocynum androsaemifolium,NA,17.2556779,non-woody,0.3345541269999999,0.2289,0.735820838,7156.820000000001,25
Apocynum cannabinum,Apocynaceae,33,20,99,Apocynum cannabinum,NA,17.24,non-woody,38.59258037207334,0.9519,0.95,4426.172100705737,26
Aquilegia formosa,Ranunculaceae,29,20,31,Aquilegia formosa,NA,21.00525989270428,non-woody,70.33074397743006,1.3283,0.91,2076.643580324267,27
Aralia nudicaulis,Araliaceae,14,11,79,Aralia nudicaulis,NA,20.1078031,non-woody,39.6434077227787,5.905,0.45,4321.2000000000035,28
Arbutus menziesii,Ericaceae,15,12,61,Arbutus menziesii,NA,11.52874754,woody,197.70819193491923,92.64920000000002,19.718062110000005,4276.550000000001,29
Arctostaphylos uva-ursi,Ericaceae,87,49,186,Arctostaphylos uva-ursi,NA,10.72919761,woody,181.78004297422532,11.325,0.269174936,172.17000000000002,30
