Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Abies amabilis,Abies,35,20,27,219.7939173687867,9.448975476,woody,45.95737787000001,91.0020621242755
Abies grandis,Abies,50,25,76,190.55596708633394,14.6,woody,54.9171867,180
Abies lasiocarpa,Abies,54,31,105,219.4744191881669,13.43892689,woody,26.65503063,35.04
Acer circinatum,Acer,23,18,26,198.12942823648424,20.231993735970768,woody,23.590831160000004,3019.000000000001
Acer glabrum,Acer,36,27,28,201.30362017459095,21.61345368782815,woody,11.267881289999998,3280.529999999999
Acer macrophyllum,Acer,38,23,64,197.0805130172137,26.4,woody,22.451222949999995,11632.910000000003
Achillea millefolium,Achillea,85,48,266,87.7511136851258,20.54814349,non-woody,0.313157943,627.23
Achlys triphylla,Achlys,7,6,9,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Actaea rubra,Actaea,22,13,22,67.88903617120437,18.8,non-woody,1,1252.2900000000002
Agoseris glauca,Agoseris,8,5,1,68.30780815924909,17.17,non-woody,0.181659021,520
Allium cernuum,Allium,52,36,69,69.52787491767353,18.776004373386982,non-woody,0.2077805908704356,551.3017429759426
Allium geyeri,Allium,11,8,7,93.94779279754145,17.62204789272428,non-woody,0.056200000000000014,117.96999999999998
Alnus incana subsp. tenuifolia,Alnus,66,35,45,191.58504383745515,21.9,woody,5.698942913407154,1750.4094809062744
Alnus rubra,Alnus,56,33,116,199.57209499727233,23.73410952,woody,30.98284191,741.361859189451
Amelanchier alnifolia,Amelanchier,131,45,164,184.5805393908103,18.2,woody,3.8628324399999996,964.6100000000005
Anaphalis margaritacea,Anaphalis,15,10,43,0.296254214,17.76384616,non-woody,0.633818409,1465.0200000000004
Anemone multifida,Anemone,12,8,1,66.99482139840266,20.855985183866213,non-woody,0.6,1790.290211811139
Angelica lucida,Angelica,13,5,25,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Antennaria neglecta,Antennaria,4,4,6,68.31327123587296,14.70791148,non-woody,0.3,278.08000000000004
Apocynum androsaemifolium,Apocynum,33,20,54,0.334554127,17.2556779,non-woody,0.735820838,7156.820000000001
