Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Abies amabilis,Pinaceae,35,20,27,Abies amabilis,NA,9.448975476,woody,162.15791736015757,45.51169999999999,45.95737787000001,1296.9312259999858,1
Abies grandis,Pinaceae,50,25,76,Abies grandis,NA,14.6,woody,198.5330229364373,17.579,54.9171867,180,2
Abies lasiocarpa,Pinaceae,54,31,105,Abies lasiocarpa,NA,13.43892689,woody,329.72820636924394,12.660299999999998,26.65503063,35.04,3
Acer circinatum,Sapindaceae,23,18,26,Acer circinatum,NA,17.73655525289522,woody,180.1251441552556,73.99230000000001,23.590831160000004,3019.000000000001,4
Acer glabrum,Sapindaceae,36,27,28,Acer glabrum,NA,21.735488633643453,woody,200.34620398882524,50.29449999999999,11.267881289999998,3280.529999999999,5
Acer macrophyllum,Sapindaceae,38,23,64,Acer macrophyllum,NA,26.4,woody,175.6045113807625,130.52329999999998,22.451222949999995,11632.910000000003,6
Achillea millefolium,Compositae,85,48,266,Achillea millefolium,NA,20.54814349,non-woody,87.75111368512577,0.1428,0.313157943,627.23,7
Achlys triphylla,Berberidaceae,7,6,9,Achlys triphylla,NA,22.255376935658333,non-woody,26.552242496552196,5.5588,0.6732485133346486,2813.2802419001987,8
Actaea rubra,Ranunculaceae,22,13,22,Actaea rubra,NA,18.8,non-woody,24.548474722533467,10.685099999999998,1,1252.2900000000002,9
Adiantum aleuticum,Pteridaceae,25,16,11,Adiantum aleuticum,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,10
Agoseris glauca,Compositae,8,5,1,Agoseris glauca,NA,17.17,non-woody,34.464239357254044,1.1523,0.181659021,520,11
Allium cernuum,Amaryllidaceae,52,36,69,Allium cernuum,NA,22.82566458052486,non-woody,22.940066686756236,3.85,0.640944083191339,2606.6157830501825,12
Allium geyeri,Amaryllidaceae,11,8,7,Allium geyeri,NA,16.736799588636327,non-woody,56.78393914748823,2.34,0.056200000000000014,117.96999999999998,13
Allium schoenoprasum var. sibiricum,Liliaceae,12,7,6,Allium schoenoprasum,var. sibiricum,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,14
Alnus incana subsp. tenuifolia,Betulaceae,66,35,45,Alnus incana,subsp. tenuifolia,21.9,woody,266.3109666638514,0.6076999999999999,3.163152864522615,4420.545425999929,15
Alnus rubra,Betulaceae,56,33,116,Alnus rubra,NA,23.73410952,woody,293.1951095397592,0.8533,30.98284191,3192.0165670001898,16
Alnus viridis subsp. crispa,Betulaceae,66,35,26,Alnus viridis,subsp. crispa,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,17
Alnus viridis subsp. sinuata,Betulaceae,66,35,8,Alnus viridis,subsp. sinuata,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,18
Amelanchier alnifolia,Rosaceae,131,45,164,Amelanchier alnifolia,NA,18.2,woody,227.51891233329775,5.5447,3.8628324399999996,964.6100000000005,19
Anaphalis margaritacea,Compositae,15,10,43,Anaphalis margaritacea,NA,17.76384616,non-woody,0.296254214,0.0445,0.633818409,1465.0200000000004,20
Anemone multifida,Ranunculaceae,12,8,1,Anemone multifida,NA,20.395397036347894,non-woody,16.448718061382326,1.1785,0.6,2621.9501072975986,21
Angelica genuflexa,Apiaceae,17,10,11,Angelica genuflexa,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,22
