Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Abies amabilis,Pinaceae,35,20,27,Abies amabilis,NA,9.448975476,woody,3.8797450945768466,45.51169999999999,45.95737787000001,206.49633427157474,1
Abies grandis,Pinaceae,50,25,76,Abies grandis,NA,14.6,woody,36.23688172661117,17.579,54.9171867,180,2
Abies lasiocarpa,Pinaceae,54,31,105,Abies lasiocarpa,NA,13.43892689,woody,159.81425298536843,12.660299999999998,26.65503063,35.04,3
Acer circinatum,Sapindaceae,23,18,26,Acer circinatum,NA,18.533258049406516,woody,34.930243486577176,73.99230000000001,23.590831160000004,3019.000000000001,4
Acer glabrum,Sapindaceae,36,27,28,Acer glabrum,NA,20.45602852663095,woody,41.064667538131474,50.29449999999999,11.267881289999998,3280.529999999999,5
Acer macrophyllum,Sapindaceae,38,23,64,Acer macrophyllum,NA,26.4,woody,22.98388473799838,130.52329999999998,22.451222949999995,11632.910000000003,6
Achillea millefolium,Compositae,85,48,266,Achillea millefolium,NA,20.54814349,non-woody,87.75111368512577,0.1428,0.313157943,627.23,7
Achlys triphylla,Berberidaceae,7,6,9,Achlys triphylla,NA,24.50949694836723,non-woody,0.3107132962706709,5.5588,0.5879510423381296,2942.611498984429,8
Actaea rubra,Ranunculaceae,22,13,22,Actaea rubra,NA,18.8,non-woody,0.43180338238322635,10.685099999999998,1,1252.2900000000002,9
Adiantum aleuticum,Pteridaceae,25,16,11,Adiantum aleuticum,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,10
Agoseris glauca,Compositae,8,5,1,Agoseris glauca,NA,17.17,non-woody,0.6037480016329415,1.1523,0.181659021,520,11
Allium cernuum,Amaryllidaceae,52,36,69,Allium cernuum,NA,21.742468141199595,non-woody,0.40491006423976744,3.85,0.6004677697333464,3761.8314582222856,12
Allium geyeri,Amaryllidaceae,11,8,7,Allium geyeri,NA,13.8892242914781,non-woody,0.6481974637779666,2.34,0.056200000000000014,117.96999999999998,13
Allium schoenoprasum subsp. sibiricum,Liliaceae,12,7,6,Allium schoenoprasum,subsp. sibiricum,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,14
Alnus incana subsp. tenuifolia,Betulaceae,66,35,45,Alnus incana,subsp. tenuifolia,21.9,woody,227.91274361631613,0.6077,2.42731044453254,834.8689372966276,15
Alnus rubra,Betulaceae,56,33,116,Alnus rubra,NA,23.73410952,woody,139.43788918026948,0.8533,30.98284191,489.3491707934212,16
Alnus viridis subsp. crispa,Betulaceae,66,35,26,Alnus viridis,subsp. crispa,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,17
Alnus viridis subsp. sinuata,Betulaceae,66,35,8,Alnus viridis,subsp. sinuata,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,18
Amelanchier alnifolia,Rosaceae,131,45,164,Amelanchier alnifolia,NA,18.2,woody,156.7818596240367,5.5447,3.8628324399999996,964.6100000000005,19
Anaphalis margaritacea,Compositae,15,10,43,Anaphalis margaritacea,NA,17.76384616,non-woody,0.296254214,0.0445,0.633818409,1465.0200000000004,20
Anemone multifida,Ranunculaceae,12,8,1,Anemone multifida,NA,23.67354615521731,non-woody,0.8233826030830816,1.1785,0.6,1572.0211114289555,21
Angelica genuflexa,Apiaceae,17,10,11,Angelica genuflexa,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,22
Angelica lucida,Apiaceae,13,5,25,Angelica lucida,NA,23.739476488292254,non-woody,0.33461316935855717,5.889999999999999,0.580039940038212,2817.4312974656823,23
Antennaria neglecta,Compositae,4,4,6,Antennaria neglecta,NA,14.70791148,non-woody,0.7654820859285225,0.0693,0.3,278.08000000000004,24
Apocynum androsaemifolium,Apocynaceae,33,20,54,Apocynum androsaemifolium,NA,17.2556779,non-woody,0.3345541269999999,0.2289,0.735820838,7156.820000000001,25
Apocynum cannabinum,Apocynaceae,33,20,99,Apocynum cannabinum,NA,17.24,non-woody,0.5864793856375062,0.9519,0.95,1812.4972750949025,26
Aquilegia formosa,Ranunculaceae,29,20,31,Aquilegia formosa,NA,22.95405415584258,non-woody,1.9359813352554143,1.3283,0.91,2426.1618780332133,27
Aralia nudicaulis,Araliaceae,14,11,79,Aralia nudicaulis,NA,20.1078031,non-woody,0.36135113879447184,5.905,0.45,4321.2000000000035,28
Arbutus menziesii,Ericaceae,15,12,61,Arbutus menziesii,NA,11.52874754,woody,20.413526475354033,92.64920000000002,19.718062110000005,4276.550000000001,29
Arctostaphylos uva-ursi,Ericaceae,87,49,186,Arctostaphylos uva-ursi,NA,10.72919761,woody,29.755690098437082,11.325,0.269174936,172.17000000000002,30
Arctous alpina,Ericaceae,11,6,4,Arctous alpina,NA,16.36581804,woody,56.10202110452564,0.3816971606499103,0.4779755657473743,219.00000000000003,31
Argentina anserina,Rosaceae,49,25,16,Argentina anserina,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,32
Argentina egedii,Rosaceae,49,25,19,Argentina egedii,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,33
Arnica cordifolia,Compositae,3,4,5,Arnica cordifolia,NA,20.26053300061265,non-woody,0.5953742738902112,1.4841,0.45,1283.8299999999995,34
Artemisia dracunculus,Compositae,12,7,99,Artemisia dracunculus,NA,25.48,non-woody,6.680362140538172,0.11499999999999999,0.788412343,87.71999999999997,35
Artemisia frigida,Compositae,14,12,90,Artemisia frigida,NA,27.16450345,non-woody,0.903813708492661,0.07109999999999998,0.6,230.85000000000005,36
Artemisia ludoviciana,Compositae,12,7,98,Artemisia ludoviciana,NA,18.90475139,non-woody,0.311672567,0.12409999999999999,0.48641546,262.2099999999999,37
Artemisia tilesii,Compositae,7,4,33,Artemisia tilesii,NA,20.439368456087298,non-woody,23.949644599360784,0.13859999999999997,1.9,2140.210235305131,38
Artemisia tridentata,Compositae,16,12,216,Artemisia tridentata,NA,15.17575567,woody,234.72709177158458,0.6187,1.807239194,37.71999999999999,39
Aruncus dioicus,Rosaceae,20,16,10,Aruncus dioicus,NA,41.37404677,non-woody,0.194935887,0.0881,1.103405285,97188.52000000005,40
Asarum caudatum,Aristolochiaceae,23,12,28,Asarum caudatum,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,41
Asclepias speciosa,Apocynaceae,5,4,61,Asclepias speciosa,NA,21.59226082786577,non-woody,11.45868643162722,6.919099999999999,1.82,3634.0492522869904,42
Athyrium filix-femina var. cyclosorum,Dryopteridaceae,30,19,1,Athyrium filix-femina,var. cyclosorum,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,43
Balsamorhiza sagittata,Compositae,31,13,109,Balsamorhiza sagittata,NA,21.96019842951295,non-woody,0.4004227944115886,4.827299999999999,0.6,6992.420000000004,44
Betula nana,Betulaceae,13,11,7,Betula nana,NA,22.6860961,woody,397.52528115384587,0.2214,0.394932857,51.78000000000001,45
Betula occidentalis,Betulaceae,8,7,12,Betula occidentalis,NA,25.56408759465595,woody,273.5364110891063,0.2168,12.345039490000001,1766.4708264128587,46
Betula papyrifera,Betulaceae,56,35,174,Betula papyrifera,NA,23.83371477,woody,400.62000000000006,0.3277999999999999,14.69789012,2536.38,47
Betula pumila subsp. glandulifera,Betulaceae,13,11,3,Betula pumila,subsp. glandulifera,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,48
Blechnum spicant,Blechnaceae,16,12,17,Blechnum spicant,NA,17.732797560300316,non-woody,17.37671724619078,5.1499999999999964e-6,0.371950331,276.1878449188414,49
Boschniakia hookeri,Orobanchaceae,8,5,3,Boschniakia hookeri,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,50
Boschniakia rossica,Orobanchaceae,8,5,1,Boschniakia rossica,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,51
