Species,LEVEL1
Abies amabilis,6
Abies amabilis,7
Abies amabilis,10
Abies grandis,6
Abies grandis,7
Abies grandis,10
Abies grandis,5
Abies lasiocarpa,6
Abies lasiocarpa,10
Abies lasiocarpa,7
Abies lasiocarpa,3
Abies lasiocarpa,5
Juniperus communis,10
Juniperus communis,6
Juniperus communis,7
Juniperus communis,3
Juniperus communis,5
Juniperus communis,2
Juniperus scopulorum,6
Juniperus scopulorum,10
Juniperus scopulorum,7
Juniperus scopulorum,5
Larix laricina,3
Larix laricina,5
Larix laricina,6
Larix laricina,7
Larix occidentalis,6
Larix occidentalis,10
Larix occidentalis,7
Picea engelmannii,6
Picea engelmannii,10
Picea engelmannii,7
Picea engelmannii,3
Picea engelmannii,5
Picea glauca,7
Picea glauca,6
Picea glauca,2
Picea glauca,3
Picea glauca,5
Picea glauca,10
Picea mariana,3
Picea mariana,2
Picea mariana,6
Picea mariana,7
Picea mariana,5
Picea mariana,10
Picea sitchensis,7
Picea sitchensis,6
Picea sitchensis,10
Picea sitchensis,2
Pinus contorta,6
Pinus contorta,7
Pinus contorta,10
Pinus contorta,3
Pinus contorta,5
Pinus monticola,6
Pinus monticola,10
Pinus monticola,7
Pinus ponderosa,10
Pinus ponderosa,6
Pinus ponderosa,7
Pseudotsuga menziesii,6
Pseudotsuga menziesii,7
Pseudotsuga menziesii,10
Pseudotsuga menziesii,5
Taxus brevifolia,7
Taxus brevifolia,6
Taxus brevifolia,10
Thuja plicata,6
Thuja plicata,7
Thuja plicata,10
Tsuga heterophylla,6
Tsuga heterophylla,7
Tsuga heterophylla,10
Tsuga heterophylla,5
Tsuga mertensiana,6
Tsuga mertensiana,7
Tsuga mertensiana,10
Equisetum arvense,6
Equisetum arvense,5
Equisetum arvense,7
Equisetum arvense,3
Equisetum arvense,2
Equisetum arvense,10
Equisetum telmateia,6
Equisetum telmateia,7
Equisetum telmateia,10
Equisetum hyemale,3
Equisetum hyemale,6
Equisetum hyemale,10
Equisetum hyemale,7
Equisetum hyemale,5
Equisetum hyemale,2
Lycopodium clavatum,6
Lycopodium clavatum,7
Lycopodium clavatum,2
Lycopodium clavatum,3
Lycopodium clavatum,5
Lycopodium clavatum,10
Adiantum aleuticum,6
Adiantum aleuticum,7
Adiantum aleuticum,10
Athyrium filix-femina,6
Athyrium filix-femina,7
Athyrium filix-femina,10
Athyrium filix-femina,5
Athyrium filix-femina,3
Athyrium filix-femina,2
Blechnum spicant,6
Blechnum spicant,7
Blechnum spicant,3
Blechnum spicant,10
Dryopteris expansa,6
Dryopteris expansa,7
Dryopteris expansa,10
Dryopteris expansa,3
Dryopteris expansa,5
Dryopteris expansa,2
Gymnocarpium dryopteris,6
Gymnocarpium dryopteris,7
Gymnocarpium dryopteris,10
Gymnocarpium dryopteris,3
Gymnocarpium dryopteris,5
Gymnocarpium dryopteris,2
Polypodium glycyrrhiza,7
Polypodium glycyrrhiza,6
Polypodium glycyrrhiza,10
Polypodium glycyrrhiza,2
Polypodium glycyrrhiza,3
Polystichum munitum,6
Polystichum munitum,7
Polystichum munitum,10
Polystichum munitum,3
Pteridium aquilinum,6
Pteridium aquilinum,7
Pteridium aquilinum,10
Pteridium aquilinum,5
Pteridium aquilinum,3
Acer circinatum,6
Acer circinatum,7
Acer circinatum,10
Acer glabrum,7
Acer glabrum,6
Acer glabrum,10
Acer macrophyllum,6
Acer macrophyllum,7
Acer macrophyllum,10
Achlys triphylla,6
Achlys triphylla,7
Achlys triphylla,10
Actaea rubra,6
Actaea rubra,7
Actaea rubra,10
Actaea rubra,5
Actaea rubra,3
Agoseris glauca,6
Agoseris glauca,10
Agoseris glauca,7
Agoseris glauca,5
Agoseris glauca,3
Allium cernuum,6
Allium cernuum,10
Allium cernuum,7
Allium cernuum,3
Allium cernuum,5
Allium schoenoprasum,3
Allium schoenoprasum,6
Allium schoenoprasum,10
Allium schoenoprasum,5
Allium schoenoprasum,2
Allium schoenoprasum,7
Allium geyeri,6
Allium geyeri,10
Allium geyeri,7
Alnus incana,6
Alnus incana,7
Alnus incana,3
Alnus incana,10
Alnus incana,2
Alnus incana,5
Alnus viridis,6
Alnus viridis,3
Alnus viridis,5
Alnus viridis,7
Alnus viridis,2
Alnus viridis,10
Alnus rubra,7
Alnus rubra,6
Alnus rubra,10
Amelanchier alnifolia,10
Amelanchier alnifolia,6
Amelanchier alnifolia,7
Amelanchier alnifolia,5
Amelanchier alnifolia,3
Anemone multifida,6
Anemone multifida,7
Anemone multifida,10
Anemone multifida,3
Anemone multifida,5
Anemone multifida,2
Angelica genuflexa,7
Angelica genuflexa,6
Angelica genuflexa,10
Angelica genuflexa,2
Angelica lucida,7
Angelica lucida,6
Angelica lucida,2
Angelica lucida,3
Antennaria neglecta,6
Antennaria neglecta,5
Antennaria neglecta,10
Antennaria neglecta,7
Antennaria neglecta,3
Apocynum cannabinum,6
Apocynum cannabinum,10
Apocynum cannabinum,5
Apocynum cannabinum,7
Apocynum androsaemifolium,10
Apocynum androsaemifolium,6
Apocynum androsaemifolium,7
Apocynum androsaemifolium,5
Apocynum androsaemifolium,3
Aquilegia formosa,6
Aquilegia formosa,10
Aquilegia formosa,7
Aquilegia formosa,5
Aquilegia formosa,3
Aralia nudicaulis,5
Aralia nudicaulis,6
Aralia nudicaulis,3
Aralia nudicaulis,10
Aralia nudicaulis,7
Arbutus menziesii,6
Arbutus menziesii,7
Arctostaphylos uva-ursi,6
Arctostaphylos uva-ursi,7
Arctostaphylos uva-ursi,10
Arctostaphylos uva-ursi,5
Arctostaphylos uva-ursi,3
Arctostaphylos uva-ursi,2
Argentina egedii,7
Argentina anserina,6
Argentina anserina,10
Argentina anserina,5
Argentina anserina,7
Arnica cordifolia,6
Arnica cordifolia,10
Arnica cordifolia,7
Arnica cordifolia,3
Arnica cordifolia,5
Artemisia dracunculus,10
Artemisia dracunculus,6
Artemisia dracunculus,3
Artemisia dracunculus,5
Artemisia dracunculus,7
Artemisia frigida,6
Artemisia frigida,10
Artemisia frigida,3
Artemisia frigida,2
Artemisia frigida,7
Artemisia frigida,5
Artemisia ludoviciana,6
Artemisia ludoviciana,10
Artemisia ludoviciana,7
Artemisia ludoviciana,3
Artemisia ludoviciana,5
Artemisia tilesii,2
Artemisia tilesii,3
Artemisia tilesii,7
Artemisia tilesii,6
Artemisia tilesii,10
Artemisia tridentata,10
Artemisia tridentata,6
Artemisia tridentata,7
Aruncus dioicus,7
Aruncus dioicus,6
Aruncus dioicus,2
Asclepias speciosa,10
Asclepias speciosa,6
Asclepias speciosa,7
Asclepias speciosa,5
Balsamorhiza sagittata,10
Balsamorhiza sagittata,6
Balsamorhiza sagittata,7
Betula nana,6
Betula nana,3
Betula nana,2
Betula nana,7
Betula nana,10
Betula pumila,5
Betula pumila,3
Betula pumila,6
