original_name,Synonym,Synonym_GNA
Adiantum aleuticum,Adiantum pedatum,Adiantum aleuticum
Alnus incana ssp. tenuifolia,Alnus incana ssp. tenuifolia,Alnus incana subsp. tenuifolia
Arctous ruber,Arctous alpina,Arctous rubra
Argentina anserina,Potentilla anserina,Argentina anserina
Argentina egedii,Potentilla anserina ssp. groenlandica,Argentina egedii
Betula pumila var. glandulifera,Betula pumila,Betula pumila var. glandulifera
Chamaecyparis nootkatensis,Cupressus nootkatensis,Chamaecyparis nootkatensis
Cornus unalaschkensis,Cornus canadensis,Cornus unalaschkensis
Eurybia conspicua,Aster conspicuus,Eurybia conspicua
Glaux maritima,Lysimachia maritima,Glaux maritima
Lappula occidentalis,Lappula redowskii,Lappula occidentalis
Mahonia nervosa,Berberis nervosa,Mahonia nervosa
Phyllospadix scouleri,Phyllospadix iwatensis,Phyllospadix scouleri
Platanthera stricta,Platanthera dilatata,Platanthera stricta
Polypodium glycyrrhiza,Polypodium vulgare,Polypodium glycyrrhiza
Populus balsamifera ssp. balsamifera,Populus balsamifera,Populus balsamifera subsp. balsamifera
Pseudoroegneria spicata,Elymus spicatus,Pseudoroegneria spicata
Rhodiola rosea,Rhodiola rosea var. rosea,Rhodiola rosea
Toxicodendron rydbergii,Toxicodendron radicans,Toxicodendron rydbergii
Zigadenus elegans,Anticlea elegans,Zigadenus elegans
Zigadenus venenosus,Toxicoscordion venenosum,Zigadenus venenosus
