original_name,Synonym
Abies amabilis,Abies amabilis
Abies grandis,Abies grandis
Abies lasiocarpa,Abies lasiocarpa
Acer circinatum,Acer circinatum
Acer glabrum,Acer glabrum
Acer macrophyllum,Acer macrophyllum
Achillea millefolium,Achillea millefolium
Achlys triphylla,Achlys triphylla
Actaea rubra,Actaea rubra
Adiantum aleuticum,Adiantum pedatum
Agoseris glauca,Agoseris glauca
Allium cernuum,Allium cernuum
Allium geyeri,Allium geyeri
Alnus incana ssp. tenuifolia,Alnus incana ssp. tenuifolia
Alnus rubra,Alnus rubra
Amelanchier alnifolia,Amelanchier alnifolia
Anaphalis margaritacea,Anaphalis margaritacea
Anemone multifida,Anemone multifida
Angelica genuflexa,Angelica genuflexa
Angelica lucida,Angelica lucida
Antennaria neglecta,Antennaria neglecta
Apocynum androsaemifolium,Apocynum androsaemifolium
Apocynum cannabinum,Apocynum cannabinum
Aquilegia formosa,Aquilegia formosa
Aralia nudicaulis,Aralia nudicaulis
Arbutus menziesii,Arbutus menziesii
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi
Arctous ruber,Arctous alpina
Argentina anserina,Potentilla anserina
Argentina egedii,Potentilla anserina ssp. groenlandica
Arnica cordifolia,Arnica cordifolia
Artemisia dracunculus,Artemisia dracunculus
Artemisia frigida,Artemisia frigida
Artemisia ludoviciana,Artemisia ludoviciana
Artemisia tilesii,Artemisia tilesii
Artemisia tridentata,Artemisia tridentata
Aruncus dioicus,Aruncus dioicus
Asarum caudatum,Asarum caudatum
Asclepias speciosa,Asclepias speciosa
Balsamorhiza sagittata,Balsamorhiza sagittata
Betula nana,Betula nana
Betula occidentalis,Betula occidentalis
Betula papyrifera,Betula papyrifera
Betula pumila var. glandulifera,Betula pumila
Blechnum spicant,Blechnum spicant
Boschniakia hookeri,Boschniakia hookeri
Boschniakia rossica,Boschniakia rossica
Bromus carinatus,Bromus carinatus
Calamagrostis rubescens,Calamagrostis rubescens
Calochortus macrocarpus,Calochortus macrocarpus
Calypso bulbosa,Calypso bulbosa
Camassia leichtlinii,Camassia leichtlinii
Camassia quamash,Camassia quamash
Campanula rotundifolia,Campanula rotundifolia
Carex obnupta,Carex obnupta
Carex rostrata,Carex rostrata
Castilleja hispida,Castilleja hispida
Castilleja miniata,Castilleja miniata
Ceanothus sanguineus,Ceanothus sanguineus
Ceanothus velutinus,Ceanothus velutinus
