Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database? ,Covered in Pierce et al. 2017? ,Covered in knb?,IUCN Status,Endemic? (Y/N),,,,TRY data available
Gymnosperms,,,,,,,,,,,,,,,,,
Abies amabilis,,,(Douglas ex Louden) Douglas ex Forbes,,/,,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),,,,,requested
Abies grandis,,,(Douglas ex D. Don) Lindl.,,/,,Pinaceae,Y,Y,N,N,Stable (Least Concern),,,,,requested
Abies lasiocarpa,,,(Hook.) Nutt,,/,,Pinaceae,Y,Y,N,Y,Stable (Least Concern),,,,,requested
Chamaecyparis nootkatensis,,,(D. Don) Spach,,Cupressus nootkatensis D. Don,,Cupressaceae,N,Y,N,Y (Chamaecyparis spp.),Stable (Least Concern),,,,,requested
Juniperus communis,,,L.,,,,Cupressaceae,Y,Y,Y,Y,Increasing (Least Concern),,,,,requested
Juniperus scopulorum,,,Sarg.,,,Rocky Mountain Juniper,Cupressaceae,Y,Y,N,Y,Increasing (Least Concern),,,,,requested
Juniperus maritima,,,Adams,,,Seaside Juniper,Cupressaceae,Y,N,N,N,Increasing (Least Concern),,,,,not available?
Larix laricina,,,(Du Roi) K. Koch,,,tamarack/alpine larch,Pinaceae,Y,Y,N,Y,Stable (Least Concern),,,,,requested
Larix occidentalis,,,Nutt.,,,western larch,Pinaceae,Y,Y,N,N,Stable (Least Concern),,,,,requested
Picea engelmannii,,,Parry ex Engelm,,,Engelmann spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),,,,,requested
Picea glauca,,,(Moench) Voss,,,white spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),,,,,requested
Picea mariana,,,"(Mill.) Britton, Sterns&Poggenb.",,,black spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),,,,,requested
Picea sitchensis,,,(Bong.) Carriere,,,sitka spruce,Pinaceae,Y,Y,Y,N,Stable (Least Concern),,,,,requested
Pinus albicaulis,,,Engelm.,,,whitebark pine,Pinaceae,Y,Y,N,Y (pres/abs),Decreasing (Endangered),,,,,requested
Pinus contorta,,,Douglas ex Louden,,,lodgepole pine,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),,,,,requested
Pinus monticola,,,Douglas ex D. Don,,,western white pine,Pinaceae,Y,Y,N,N,Decreasing (Near threatened),,,,,requested
Pinus ponderosa,,,C. Lawson,,,ponderosa pine,Pinaceae,Y,Y,Y,Y,Stable (Least Concern),,,,,requested
Pseudotsuga menziesii,,,(Mirb.) Franco,,,Douglas-fir,Pinaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Taxus brevifolia,,,Nutt.,,,Pacific yew/western yew,Taxaceae,Y,Y,N,,Decreasing (Near threatened),,,,,requested
Thuja plicata,,,Donn ex D. Don,,,western redcedar,Cupressaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Tsuga heterophylla,,,(Raf.) Sarg.,,,western hemlock,Pinaceae,Y,Y,N,Y (germination),Increasing (Least Concern),,,,,requested
Tsuga mertensiana,,,(Bong.)Carriere,,,mountain hemlock,Pinaceae,Y,Y,N,Y (germination),Increasing (Least Concern),,,,,requested
,,,,,,,,,,,,,,,,,
Ferns and fern-allies,,,,,,,,,,,,,,,,,requested
Equisetum arvense,,,L.,,/,,Equisetaceae,Y,Y,Y,,Unknown (Least Concern),,,,,requested
Equisetum telmateia,,,Ehrh.,,/,,Equisetaceae,Y,Y,Y,,Increasing (Least Concern),,,,,requested
Equisetum hyemale,ssp. affine,,L.,(Engelm.) Calder & Roy L. Taylor,/,,Equisetaceae,Y,Y,N,,/,,,,,requested
Lycopodium clavatum,,,L.,,/,,Lycopodiaceae,Y,Y,Y,,/,,,,,requested
Adiantum aleuticum,,,(Rupr.) Paris (syn. A. pedatum L.),,/,,Pteridaceae,Y,Y,N,,/,,,,,requested
Athyrium filix-femina,ssp. cyclosorum,,(L.) Roth.,(Rupr.) C. Chr.,Athyrium filix-foemina (L.) Roth,,Dryopteridaceae,Y,Y,Y (different family specified),,/,,,,,requested
Blechnum spicant,,,(L.) Sm.,,,deer fern,Blechnaceae,Y,Y,Y,,/,,,,,requested
Dryopteris expansa,,,(K.B. Presl) Fraser-Jenkins & Jermy,,,spiny wood fern,Dryopteridaceae,Y,Y,Y,,/,,,,,requested
Gymnocarpium dryopteris,,,s (L.) Newm.,,,oak fern,Dryopteridaceae,Y,Y,Y,,/,,,,,requested
Polypodium glycyrrhiza,,,D.C. Eaton,,,licorice fern,Polypodiaceae,Y,Y,N,,/,,,,,requested
Polystichum munitum,,,(Kaulf.) C. Presl,,,western swordfern,Dryopteridaceae,Y,Y,N,,/,,,,,requested
Pteridium aquilinum,,,m (L.) Kuhn,,,bracken fern,Denstaedtiaceae,Y,Y,Y,,Stable (Least Concern),,,,,requested
,,,,,,,,,,,,,,,,,
Flowering plants (angiosperms),,,,,,,,,,,,,,,,,
