"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",93134,1005907,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMCont Leaf","0.21","g/g","Single",NA,NA,NA,0.21,"g/g",NA,NA,0.596761,"Shipley, B. and T. T. Vu. 2002. Dry matter content as a measure of dry matter concentration in plants and their parts. New Phytologist 153:359-364.","DMCont (g/g): dry matter content",NA
"2","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",172076,1798863,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","LDMC","0.6","g/g","Single",NA,NA,NA,0.6,"g/g",NA,NA,5.60774,"unpub.","LDMC (g/g): leaf dry matter content",NA
"3","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",172077,1798882,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","LDMC","0.368421053","g/g","Single",NA,NA,NA,0.368421053,"g/g",NA,NA,2.74985,"unpub.","LDMC (g/g): leaf dry matter content",NA
"4","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",172078,1798901,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","LDMC","0.428571429","g/g","Single",NA,NA,NA,0.428571429,"g/g",NA,NA,3.63605,"unpub.","LDMC (g/g): leaf dry matter content",NA
"5","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",172079,1798920,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","LDMC","0.538461538","g/g","Single",NA,NA,NA,0.538461538,"g/g",NA,NA,4.97362,"unpub.","LDMC (g/g): leaf dry matter content",NA
"6","Shipley","Bill",50,"Leaf and Whole Plant Traits Database","Achillea millefolium",909,"Achillea millefolium",172080,1798939,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","LDMC","0.277777778","g/g","Single",NA,NA,NA,0.277777778,"g/g",NA,NA,1.09499,"unpub.","LDMC (g/g): leaf dry matter content",NA
"7","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",178318,1873816,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","175","mg/g","Best estimate",NA,NA,NA,0.175,"g/g",NA,NA,1.6125,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"8","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",1105576,1873823,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","172.2","mg/g","Mean",NA,NA,NA,0.1722,"g/g",NA,NA,1.70701,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"9","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",1105577,1873824,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","186.06","mg/g","Maximum",NA,NA,NA,0.18606,"g/g",NA,NA,1.25338,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"10","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",1105578,1873825,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","150.07","mg/g","Minimum",NA,NA,NA,0.15007,"g/g",NA,NA,2.51307,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
