"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771564,3524794,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","1.12","%","Single",NA,NA,NA,11.2,"mg/g",NA,20556277,1.16239,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"2","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771733,3526694,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.94","%","Single",NA,NA,NA,9.4,"mg/g",NA,NA,1.54993,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"3","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771734,3526704,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.91","%","Single",NA,NA,NA,9.1,"mg/g",NA,NA,1.62978,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"4","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771735,3526714,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.96","%","Single",NA,NA,NA,9.6,"mg/g",NA,NA,1.4981,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"5","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771736,3526724,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.96","%","Single",NA,NA,NA,9.6,"mg/g",NA,3526714,1.4981,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"6","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771737,3526734,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.99","%","Single",NA,NA,NA,9.9,"mg/g",NA,NA,1.42862,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"7","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771738,3526744,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.81","%","Single",NA,NA,NA,8.1,"mg/g",NA,NA,1.91636,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"8","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771739,3526754,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.96","%","Single",NA,NA,NA,9.6,"mg/g",NA,3526714,1.4981,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"9","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771740,3526764,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.94","%","Single",NA,NA,NA,9.4,"mg/g",NA,3526694,1.54993,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"10","Reich","Peter",35,"Reich-Oleksyn Global Leaf N, P Database","Abies amabilis",30,"Abies amabilis",771741,3526774,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","N_(%)","0.94","%","Single",NA,NA,NA,9.4,"mg/g",NA,3526694,1.54993,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
