"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",762433,3485824,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","45","m","Low",NA,NA,NA,45,"m",NA,NA,2.12829,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"2","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",1257759,3485825,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","55","m","High",NA,NA,NA,55,"m",NA,NA,2.23143,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"3","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",762434,3485827,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","70","m","Mean",NA,NA,NA,70,"m",NA,NA,2.35537,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"4","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",1257760,3485829,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","12","m","Low",NA,NA,NA,12,"m",NA,NA,2.13324,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"5","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",1257761,3485830,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","46","m","High",NA,NA,NA,46,"m",NA,NA,2.13959,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"6","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",762435,3485831,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","74.7","m","Maximum",NA,NA,NA,74.7,"m",NA,NA,2.38877,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"7","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",762436,3485833,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","30","m","Low",NA,NA,NA,30,"m",NA,NA,1.91991,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"8","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies amabilis",30,"Abies amabilis",1257762,3485834,3106,"Plant height vegetative",19,"Plant height vegetative","MaximumHeight","70","m","High",NA,NA,NA,70,"m",NA,NA,2.35537,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.",NA,NA
"9","Kleyer","Michael",25,"The LEDA Traitbase","Abies grandis",50,"Abies grandis",1114227,1833728,3106,"Plant height vegetative",19,"Plant height vegetative","single value [m]","50","m","Best estimate",NA,NA,NA,50,"m",NA,NA,2.18244,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","mean of observation",NA
"10","Kleyer","Michael",25,"The LEDA Traitbase","Abies grandis",50,"Abies grandis",1114226,1833732,3106,"Plant height vegetative",19,"Plant height vegetative","single value [m]","70","m","Maximum",NA,NA,NA,70,"m",NA,NA,2.35537,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.","mean of observation",NA
