"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Wright","Ian",57,"Categorical Plant Traits Database","Abies amabilis",30,"Abies amabilis",327811,2628927,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"2","Cornwell","Will",89,"ArtDeco Database","Abies amabilis",30,"Abies amabilis",968428,6157211,38,"Plant woodiness",43,"Woodiness","gf2","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",NA,NA
"3","Wright","Ian",57,"Categorical Plant Traits Database","Abies grandis",50,"Abies grandis",327816,2628937,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"4","Wright","Ian",57,"Categorical Plant Traits Database","Abies grandis",50,"Abies grandis",327817,2628939,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"5","Enquist","Brian",129,"The Americas N&P database","Abies grandis",50,"Abies grandis",964339,6109162,38,"Plant woodiness",43,"Woodiness","Habit: woodiness","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kerkhoff, A. J., W. F. Fagan, J. J. Elser, and B. J. Enquist. 2006. Phylogenetic and growth form variation in the scaling of nitrogen and phosphorus in the seed plants. American Naturalist 168:E103-E122.",NA,NA
"6","Cornwell","Will",89,"ArtDeco Database","Abies grandis",50,"Abies grandis",967881,6144942,38,"Plant woodiness",43,"Woodiness","gf2","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",NA,NA
"7","Cornwell","Will",89,"ArtDeco Database","Abies grandis",50,"Abies grandis",968432,6157257,38,"Plant woodiness",43,"Woodiness","gf2","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",NA,NA
"8","Wright","Ian",57,"Categorical Plant Traits Database","Abies lasiocarpa",56,"Abies lasiocarpa",327818,2628941,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"9","Wright","Ian",57,"Categorical Plant Traits Database","Abies lasiocarpa",56,"Abies lasiocarpa",327819,2628943,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"10","Cornwell","Will",89,"ArtDeco Database","Abies lasiocarpa",56,"Abies lasiocarpa",968433,6157281,38,"Plant woodiness",43,"Woodiness","gf2","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",NA,NA
"11","Wright","Ian",57,"Categorical Plant Traits Database","Acer circinatum",803,"Acer circinatum",327981,2629267,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"12","Wright","Ian",57,"Categorical Plant Traits Database","Acer circinatum",803,"Acer circinatum",327982,2629269,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"13","Wright","Ian",57,"Categorical Plant Traits Database","Acer glabrum",818,"Acer glabrum",327985,2629275,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"14","Cornwell","Will",55,"Jasper Ridge Californian Woody Plants Database","Acer macrophyllum",833,"Acer macrophyllum",218182,2311955,38,"Plant woodiness",43,"Woodiness","woody","Y","Y/N","Single",NA,NA,NA,NA,NA,NA,NA,NA,"Preston, K. A., W. K. Cornwell, and J. L. DeNoyer. 2006. Wood density and vessel traits as distinct correlates of ecological strategy in 51 California coast range angiosperms. New Phytologist 170:807-818.","wood present?",NA
"15","Wright","Ian",57,"Categorical Plant Traits Database","Acer macrophyllum",833,"Acer macrophyllum",327989,2629283,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"16","Wright","Ian",57,"Categorical Plant Traits Database","Acer macrophyllum",833,"Acer macrophyllum",327990,2629285,38,"Plant woodiness",43,"Woodiness","Woody","woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unpub.",NA,NA
"17","Díaz","Sandra",86,"Sheffield-Iran-Spain Database","Achillea millefolium",909,"Achillea millefolium",158098,1661082,38,"Plant woodiness",43,"Woodiness","Woodiness","0",NA,"Mean",NA,NA,NA,NA,NA,NA,NA,NA,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.","Ordinal: 0 = non-woody; 1 = semi-woody; 2 = soft wood (£ 0.6 mg.mm–3); 3 = dense wood (> 0.6 mg.mm–3)",NA
"18","Cornelissen","Johannes",1,"Abisko & Sheffield Database","Achillea millefolium",909,"Achillea millefolium",172588,1807902,38,"Plant woodiness",43,"Woodiness","GrowthForm2","h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quested, H. M., J. H. C. Cornelissen, M. C. Press, T. V. Callaghan, R. Aerts, F. Trosien, P. Riemann, D. Gwynn-Jones, A. Kondratchuk, and S. E. Jonasson. 2003. Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasites. Ecology 84:3209-3221.","woody/herbaceuous;",NA
"19","Cornelissen","Johannes",1,"Abisko & Sheffield Database","Achillea millefolium",909,"Achillea millefolium",172661,1810429,38,"Plant woodiness",43,"Woodiness","GrowthForm2","h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quested, H. M., J. H. C. Cornelissen, M. C. Press, T. V. Callaghan, R. Aerts, F. Trosien, P. Riemann, D. Gwynn-Jones, A. Kondratchuk, and S. E. Jonasson. 2003. Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasites. Ecology 84:3209-3221.","woody/herbaceuous;",NA
"20","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",212806,2269304,38,"Plant woodiness",43,"Woodiness","woodiness","non-woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"21","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",212807,2269312,38,"Plant woodiness",43,"Woodiness","woodiness","non-woody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
