"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Betula nana",7350,"Betula nana",925326,5288248,6,"Root rooting depth",7,"Root rooting depth","rooting depth","20","cm","Single",NA,NA,NA,0.2,"m",NA,49706679,0.661304,"unpub.","maximum rooting depth",NA
"2","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Betula papyrifera",7355,"Betula papyrifera",925327,5288267,6,"Root rooting depth",7,"Root rooting depth","rooting depth","40","cm","Single",NA,NA,NA,0.4,"m",NA,49706796,1.02228,"unpub.","maximum rooting depth",NA
"3","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Empetrum nigrum",20484,"Empetrum nigrum",925338,5288476,6,"Root rooting depth",7,"Root rooting depth","rooting depth","10","cm","Single",NA,NA,NA,0.1,"m",NA,49706913,1.14664,"unpub.","maximum rooting depth",NA
"4","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Epilobium angustifolium",20801,"Epilobium angustifolium",925339,5288495,6,"Root rooting depth",7,"Root rooting depth","rooting depth","100","cm","Single",NA,NA,NA,1,"m",NA,49707052,3.26441,"unpub.","maximum rooting depth",NA
"5","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Equisetum arvense",20927,"Equisetum arvense",925341,5288533,6,"Root rooting depth",7,"Root rooting depth","rooting depth","30","cm","Single",NA,NA,NA,0.3,"m",NA,NA,0.377403,"unpub.","maximum rooting depth",NA
"6","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Eriophorum angustifolium",21805,"Eriophorum angustifolium",925343,5288571,6,"Root rooting depth",7,"Root rooting depth","rooting depth","40","cm","Single",NA,NA,NA,0.4,"m",NA,49707304,0.784403,"unpub.","maximum rooting depth",NA
"7","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Hedysarum alpinum",28026,"Hedysarum alpinum",925346,5288628,6,"Root rooting depth",7,"Root rooting depth","rooting depth","10","cm","Single",NA,NA,NA,0.1,"m",NA,NA,2.21565,"unpub.","maximum rooting depth",NA
"8","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Petasites frigidus",41262,"Petasites frigidus",925361,5288913,6,"Root rooting depth",7,"Root rooting depth","rooting depth","30","cm","Single",NA,NA,NA,0.3,"m",NA,49707098,0.377403,"unpub.","maximum rooting depth",NA
"9","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Picea glauca",41920,"Picea glauca",925362,5288932,6,"Root rooting depth",7,"Root rooting depth","rooting depth","30","cm","Single",NA,NA,NA,0.3,"m",NA,49707006,1.26248,"unpub.","maximum rooting depth",NA
"10","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Picea mariana",41927,"Picea mariana",925363,5288951,6,"Root rooting depth",7,"Root rooting depth","rooting depth","30","cm","Single",NA,NA,NA,0.3,"m",NA,49707030,1.26248,"unpub.","maximum rooting depth",NA
"11","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Populus tremuloides",43533,"Populus tremuloides",925369,5289065,6,"Root rooting depth",7,"Root rooting depth","rooting depth","100","cm","Single",NA,NA,NA,1,"m",NA,49706844,0.513919,"unpub.","maximum rooting depth",NA
"12","Chapin III","F Stuart",73,"Tundra Plant Traits Database","Rubus chamaemorus",46963,"Rubus chamaemorus",925372,5289122,6,"Root rooting depth",7,"Root rooting depth","rooting depth","40","cm","Single",NA,NA,NA,0.4,"m",NA,49707144,0.474008,"unpub.","maximum rooting depth",NA
