"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"1","Zanne","Amy",61,"Global Wood Density Database","Abies amabilis",30,"Abies amabilis",734739,3331944,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.42","g/cm^3","Single",NA,NA,NA,0.42,"g/cm3",NA,NA,0.539705,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"2","Zanne","Amy",61,"Global Wood Density Database","Abies grandis",50,"Abies grandis",734751,3331968,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.42","g/cm^3","Single",NA,NA,NA,0.42,"g/cm3",NA,NA,0.539705,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"3","Zanne","Amy",61,"Global Wood Density Database","Abies lasiocarpa",56,"Abies lasiocarpa",734755,3331976,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.32","g/cm^3","Single",NA,NA,NA,0.32,"g/cm3",NA,NA,1.18201,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"4","Cornwell","Will",55,"Jasper Ridge Californian Woody Plants Database","Acer macrophyllum",833,"Acer macrophyllum",218182,2311957,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","wood.density","0.43","g / cm3","Single",NA,NA,NA,0.43,"g/cm3",NA,NA,0.573928,"Preston, K. A., W. K. Cornwell, and J. L. DeNoyer. 2006. Wood density and vessel traits as distinct correlates of ecological strategy in 51 California coast range angiosperms. New Phytologist 170:807-818.","wood density, sampled on third year shoots",NA
"5","Zanne","Amy",61,"Global Wood Density Database","Acer macrophyllum",833,"Acer macrophyllum",734992,3332450,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.51","g/cm^3","Single",NA,NA,NA,0.51,"g/cm3",NA,NA,0.61612,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"6","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757714,3442899,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","1.11E-03","g/cm3","Single",NA,NA,NA,0.00111,"g/cm3",NA,NA,14.3664,"unpub.","g cm^-3",NA
"7","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757715,3442913,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","3.20E-04","g/cm3","Single",NA,NA,NA,0.00032,"g/cm3",NA,NA,19.7924,"unpub.","g cm^-3",NA
"8","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757716,3442927,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","2.22E-03","g/cm3","Single",NA,NA,NA,0.00222,"g/cm3",NA,NA,11.3485,"unpub.","g cm^-3",NA
"9","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757717,3442941,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","1.11E-03","g/cm3","Single",NA,NA,NA,0.00111,"g/cm3",NA,NA,14.3699,"unpub.","g cm^-3",NA
"10","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757719,3442965,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","1.41E-03","g/cm3","Single",NA,NA,NA,0.00141,"g/cm3",NA,NA,13.3199,"unpub.","g cm^-3",NA
